Date,Adj Close,Close,High,Low,Open,Volume
2024-05-08 00:00:00+00:00,795.3654175,802,802,792,794,21757193
2024-05-09 00:00:00+00:00,789.414978,796,802,796,798,21923999
2024-05-10 00:00:00+00:00,795.3654175,802,807,798,803,25101318
2024-05-13 00:00:00+00:00,812.2247314,819,825,818,823,34812619
2024-05-14 00:00:00+00:00,818.1751099,825,825,811,816,28691846
2024-05-15 00:00:00+00:00,832.0592651,839,844,837,838,39467772
2024-05-16 00:00:00+00:00,834.0427246,841,856,837,852,43927195
2024-05-17 00:00:00+00:00,828.0923462,835,848,834,848,26207289
2024-05-20 00:00:00+00:00,828.0923462,835,838,822,834,28808661
2024-05-21 00:00:00+00:00,834.0427246,841,841,830,830,19705349
2024-05-22 00:00:00+00:00,856.852478,864,865,843,845,36628342
2024-05-23 00:00:00+00:00,867.7614746,875,877,867,875,37266618
2024-05-24 00:00:00+00:00,859.8276978,867,872,858,858,34136382
2024-05-27 00:00:00+00:00,861.8110962,869,878,866,872,26726954
2024-05-28 00:00:00+00:00,857.8441772,865,873,865,867,25329216
2024-05-29 00:00:00+00:00,849.9104004,857,868,856,861,33436835
2024-05-30 00:00:00+00:00,831.0675659,838,848,838,841,38065102
2024-05-31 00:00:00+00:00,814.2081909,821,846,821,838,77438401
2024-06-03 00:00:00+00:00,839.0013428,846,853,837,839,28345488
2024-06-04 00:00:00+00:00,832.0592651,839,851,837,844,28223635
2024-06-05 00:00:00+00:00,846.9351807,854,857,835,841,31975446
2024-06-06 00:00:00+00:00,886.6043091,894,899,885,893,62925136
2024-06-07 00:00:00+00:00,871.7283936,879,888,879,885,41075399
2024-06-11 00:00:00+00:00,875.6953125,883,895,883,892,48228488
2024-06-12 00:00:00+00:00,901.4802246,909,914,888,888,48106925
2024-06-13 00:00:00+00:00,914.9200439,919,935,911,923,55857091
2024-06-14 00:00:00+00:00,917.9067383,922,922,905,916,38408123
2024-06-17 00:00:00+00:00,916.9111938,921,925,913,913,26292426
2024-06-18 00:00:00+00:00,938.8135376,943,950,940,944,37876013
2024-06-19 00:00:00+00:00,976.6448364,981,984,953,953,72228052
2024-06-20 00:00:00+00:00,976.6448364,981,981,971,971,48225374
2024-06-21 00:00:00+00:00,965.6936646,970,978,960,961,88376132
2024-06-24 00:00:00+00:00,935.8268433,940,960,940,958,66391994
2024-06-25 00:00:00+00:00,940.8046265,945,945,923,925,57368432
2024-06-26 00:00:00+00:00,955.7380371,960,960,951,951,44967166
2024-06-27 00:00:00+00:00,955.7380371,960,961,949,951,39729446
2024-06-28 00:00:00+00:00,961.7114258,966,971,955,956,39138210
2024-07-01 00:00:00+00:00,963.7025146,968,977,965,968,19935737
2024-07-02 00:00:00+00:00,955.7380371,960,971,959,967,25427569
2024-07-03 00:00:00+00:00,974.6536865,979,979,967,976,24070411
2024-07-04 00:00:00+00:00,1000.538269,1005,1010,997,1000,41893299
2024-07-05 00:00:00+00:00,1000.538269,1005,1010,1000,1005,19998094
2024-07-08 00:00:00+00:00,1030.405029,1035,1050,1000,1005,40146763
2024-07-09 00:00:00+00:00,1035.382935,1040,1055,1025,1030,46373121
2024-07-10 00:00:00+00:00,1040.360718,1045,1050,1015,1020,46206302
2024-07-11 00:00:00+00:00,1075.205322,1080,1080,1055,1065,41724336
2024-07-12 00:00:00+00:00,1035.382935,1040,1045,1025,1030,68983062
2024-07-15 00:00:00+00:00,1035.382935,1040,1045,1025,1040,38393309
2024-07-16 00:00:00+00:00,1050.316284,1055,1070,1035,1040,32125609
2024-07-17 00:00:00+00:00,1025.427246,1030,1045,1020,1035,54022399
2024-07-18 00:00:00+00:00,1000.538269,1005,1005,986,988,81990095
2024-07-19 00:00:00+00:00,965.6936646,970,995,970,988,92507621
2024-07-22 00:00:00+00:00,934.8312988,939,965,938,964,83062356
2024-07-23 00:00:00+00:00,974.6536865,979,979,956,963,47213266
2024-07-26 00:00:00+00:00,919.8978882,924,930,915,915,82081735
2024-07-29 00:00:00+00:00,939.809082,944,948,936,942,40809258
2024-07-30 00:00:00+00:00,935.8268433,940,949,926,930,41761392
2024-07-31 00:00:00+00:00,929.8534546,934,940,928,929,39894991
2024-08-01 00:00:00+00:00,955.7380371,960,969,948,969,47382270
2024-08-02 00:00:00+00:00,898.9910889,903,928,903,918,76144485
2024-08-05 00:00:00+00:00,811.3817749,815,857,813,852,144057989
2024-08-06 00:00:00+00:00,876.0932007,880,895,840,868,102930842
2024-08-07 00:00:00+00:00,915.9156494,920,920,893,901,59158704
2024-08-08 00:00:00+00:00,892.0221558,896,905,887,901,38236391
